FID,BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Shape_Leng,Shape_Area,all_househ,child_per_,Total_Population
53,4,Queens,081,QN70,Astoria,32530.602798299999000,39334607.637400001000000,7424.000000000000000,1484.800000000000000,78793.000000000000000
54,4,Queens,081,QN34,Queens Village,41782.400809899998000,69533433.020199999000000,6374.000000000000000,1274.800000000000000,52504.000000000000000
55,4,Queens,081,QN66,Laurelton,29546.249172100001000,39786978.419000000000000,3086.000000000000000,3086.000000000000000,24453.000000000000000
56,3,Brooklyn,047,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,92269.469359099996000,69328952.854800001000000,6099.000000000000000,871.285714286000030,45231.000000000000000
57,3,Brooklyn,047,BK43,Midwood,27996.590614100001000,35799574.157600001000000,6368.000000000000000,1273.599999999999900,52835.000000000000000
58,3,Brooklyn,047,BK26,Gravesend,39922.674171400002000,31341950.281100001000000,3786.000000000000000,1262.000000000000000,29436.000000000000000
59,3,Brooklyn,047,BK29,Bensonhurst East,33920.676637600001000,35776106.622400001000000,7521.000000000000000,1253.500000000000000,62978.000000000000000
60,5,Staten Island,085,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,72465.985775800000000,89057605.509900004000000,5466.000000000000000,1093.200000000000000,31474.000000000000000
61,5,Staten Island,085,SI28,Port Richmond,38925.200098100002000,36421032.128700003000000,2869.000000000000000,956.333333333000040,20191.000000000000000
62,3,Brooklyn,047,BK19,Brighton Beach,21057.419863600000000,17179308.085400000000000,3582.000000000000000,895.500000000000000,35547.000000000000000
63,5,Staten Island,085,SI48,Arden Heights,29689.142369300000000,50410697.569600001000000,3411.000000000000000,1705.500000000000000,25238.000000000000000
64,5,Staten Island,085,SI32,Rossville-Woodrow,33239.329824499997000,64959480.115599997000000,2801.000000000000000,700.250000000000000,20763.000000000000000
65,3,Brooklyn,047,BK58,Flatlands,40635.274941800002000,54341763.419500001000000,9487.000000000000000,1185.875000000000000,64762.000000000000000
66,1,Manhattan,061,MN32,Yorkville,17409.209792599999000,13594803.162100000000000,7045.000000000000000,2348.333333330000200,77942.000000000000000
67,3,Brooklyn,047,BK85,East New York (Pennsylvania Ave),24226.851565699999000,19397526.573500000000000,6218.000000000000000,1243.599999999999900,29343.000000000000000
68,4,Queens,081,QN56,Ozone Park,24732.345910700002000,25028982.081500001000000,3068.000000000000000,767.000000000000000,21376.000000000000000
69,3,Brooklyn,047,BK60,Prospect Lefferts Gardens-Wingate,29580.759462800001000,31643096.815099999000000,9812.000000000000000,1401.714285710000000,67459.000000000000000
70,3,Brooklyn,047,BK90,East Williamsburg,49171.276360299998000,39139864.509599999000000,3184.000000000000000,636.799999999999950,34158.000000000000000
71,3,Brooklyn,047,BK72,Williamsburg,16874.433845799998000,11589988.175799999000000,4972.000000000000000,1243.000000000000000,32926.000000000000000
72,3,Brooklyn,047,BK75,Bedford,29992.923799400000000,32629788.989000000000000,11276.000000000000000,939.666666666999960,70713.000000000000000
73,3,Brooklyn,047,BK81,Brownsville,27298.849241799999000,32719366.087099999000000,12707.000000000000000,847.133333333000000,58300.000000000000000
74,1,Manhattan,061,MN20,Murray Hill-Kips Bay,23135.103742600000000,14465955.025500000000000,2794.000000000000000,698.500000000000000,50742.000000000000000
75,3,Brooklyn,047,BK35,Stuyvesant Heights,28239.080766800002000,31406935.853000000000000,11331.000000000000000,1030.090909090000000,63504.000000000000000
76,3,Brooklyn,047,BK79,Ocean Hill,22494.582090299999000,20089914.374699999000000,6816.000000000000000,973.714285713999970,31935.000000000000000
77,3,Brooklyn,047,BK61,Crown Heights North,35635.543552100004000,51619074.711400002000000,17491.000000000000000,1028.882352939999900,103169.000000000000000
78,1,Manhattan,061,MN21,Gramercy,12092.422753100000000,7531310.605440000100000,1273.000000000000000,636.500000000000000,27988.000000000000000
79,3,Brooklyn,047,BK63,Crown Heights South,24192.455609500001000,15989888.736099999000000,5558.000000000000000,1111.599999999999900,39670.000000000000000
80,3,Brooklyn,047,BK96,Rugby-Remsen Village,30957.853574199999000,32706946.231300000000000,9161.000000000000000,1017.888888890000000,55326.000000000000000
81,2,Bronx,005,BX07,Bronxdale,17431.879004400002000,15186850.950400000000000,6510.000000000000000,1627.500000000000000,35538.000000000000000
82,2,Bronx,005,BX44,Williamsbridge-Olinville,27350.974118499998000,36273564.114699997000000,11638.000000000000000,2327.599999999999900,61321.000000000000000
83,2,Bronx,005,BX03,Eastchester-Edenwald-Baychester,59165.001897599999000,40256748.867500000000000,6264.000000000000000,1044.000000000000000,34517.000000000000000
84,2,Bronx,005,BX31,Allerton-Pelham Gardens,25467.117250200001000,31693044.082400002000000,4069.000000000000000,678.166666666999960,28903.000000000000000
85,3,Brooklyn,047,BK93,Starrett City,17414.782534300000000,11598952.413699999000000,2256.000000000000000,0.000000000000000,13354.000000000000000
86,5,Staten Island,085,SI37,Stapleton-Rosebank,56425.806645899997000,46525264.540600002000000,3934.000000000000000,983.500000000000000,26453.000000000000000
87,4,Queens,081,QN31,Hunters Point-Sunnyside-West Maspeth,74605.804357400004000,102350778.823000000000000,6375.000000000000000,910.714285713999970,63271.000000000000000
88,4,Queens,081,QN62,Queensboro Hill,30549.556432000001000,26561268.891500000000000,2160.000000000000000,432.000000000000000,20800.000000000000000
89,1,Manhattan,061,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,45454.723007300003000,37029727.529799998000000,4785.000000000000000,683.571428570999960,70150.000000000000000
90,1,Manhattan,061,MN23,West Village,29385.030680200001000,25000526.189300001000000,4048.000000000000000,449.777777777999970,66880.000000000000000
91,3,Brooklyn,047,BK91,East Flatbush-Farragut,39201.038565700001000,34360864.574600004000000,6936.000000000000000,990.857142856999990,50355.000000000000000
92,5,Staten Island,085,SI07,Westerleigh,41648.781254000001000,63294837.045400001000000,3052.000000000000000,763.000000000000000,24102.000000000000000
93,5,Staten Island,085,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,71216.930328799994000,140982197.370999990000000,3522.000000000000000,391.333333332999980,27770.000000000000000
94,5,Staten Island,085,SI11,Charleston-Richmond Valley-Tottenville,84869.600590000002000,145667897.328000010000000,3369.000000000000000,673.799999999999950,23313.000000000000000
95,4,Queens,081,QN45,Douglas Manor-Douglaston-Little Neck,45804.667307800002000,68375195.714800000000000,2886.000000000000000,721.500000000000000,24739.000000000000000
96,3,Brooklyn,047,BK78,Bushwick South,40735.742346699997000,40169452.131399997000000,11253.000000000000000,1023.000000000000000,72101.000000000000000
97,3,Brooklyn,047,BK77,Bushwick North,26321.626914500001000,24927927.162400000000000,8590.000000000000000,1073.750000000000000,57138.000000000000000
98,4,Queens,081,QN20,Ridgewood,40608.513112900000000,50495176.153600000000000,10718.000000000000000,1531.142857139999900,69317.000000000000000
99,4,Queens,081,QN43,Bellerose,32084.790333500001000,55192956.034100004000000,3035.000000000000000,758.750000000000000,25287.000000000000000
100,4,Queens,081,QN44,Glen Oaks-Floral Park-New Hyde Park,33596.507142900002000,45667199.809100002000000,1998.000000000000000,499.500000000000000,22571.000000000000000
101,2,Bronx,005,BX41,Mount Hope,18937.247490199999000,14716710.080600001000000,10236.000000000000000,853.000000000000000,51807.000000000000000
102,3,Brooklyn,047,BK46,Ocean Parkway South,21975.997112400000000,17782095.712099999000000,2490.000000000000000,1245.000000000000000,20299.000000000000000
103,4,Queens,081,QN22,Flushing,38364.000393499999000,37864383.532099999000000,7069.000000000000000,1413.800000000000000,72008.000000000000000
104,5,Staten Island,085,SI22,West New Brighton-New Brighton-St. George,67959.439656100003000,56054069.792300001000000,5533.000000000000000,614.777777777999970,33551.000000000000000
105,1,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,24277.730368500001000,24861569.356199998000000,3989.000000000000000,797.799999999999950,42742.000000000000000
106,1,Manhattan,061,MN27,Chinatown,20786.255141000001000,14501868.035200000000000,3438.000000000000000,264.461538462000020,47844.000000000000000
107,1,Manhattan,061,MN50,Stuyvesant Town-Cooper Village,11000.177312800000000,5573902.374230000200000,1597.000000000000000,1597.000000000000000,21049.000000000000000
108,5,Staten Island,085,SI14,Grasmere-Arrochar-Ft. Wadsworth,40064.366283199997000,40948655.913999997000000,2257.000000000000000,752.333333333000040,16079.000000000000000
109,5,Staten Island,085,SI36,Old Town-Dongan Hills-South Beach,41972.414617599999000,67010310.068599999000000,3206.000000000000000,641.200000000000050,24835.000000000000000
110,2,Bronx,005,BX22,North Riverdale-Fieldston-Riverdale,31853.055661300001000,49045387.871900000000000,3009.000000000000000,501.500000000000000,27860.000000000000000
111,2,Bronx,005,BX29,Spuyten Duyvil-Kingsbridge,27990.788162900000000,23214112.769900002000000,4044.000000000000000,1348.000000000000000,30161.000000000000000
112,3,Brooklyn,047,BK42,Flatbush,38737.853253599998000,45254807.777500004000000,15373.000000000000000,1921.625000000000000,105804.000000000000000
113,2,Bronx,005,BX62,Woodlawn-Wakefield,38694.039543100000000,39738769.439300001000000,6649.000000000000000,2216.333333330000200,42483.000000000000000
114,5,Staten Island,085,SI25,Oakwood-Oakwood Beach,44290.653322999999000,55953705.717699997000000,2805.000000000000000,935.000000000000000,22049.000000000000000
115,2,Bronx,005,BX30,Kingsbridge Heights,21315.335287499998000,13166303.671300000000000,5810.000000000000000,830.000000000000000,32496.000000000000000
116,2,Bronx,005,BX36,University Heights-Morris Heights,24306.957220200002000,21252300.977400001000000,11331.000000000000000,1030.090909090000000,54188.000000000000000
117,2,Bronx,005,BX34,Melrose South-Mott Haven North,19587.885068899999000,17271906.302099999000000,8327.000000000000000,1040.875000000000000,39214.000000000000000
118,4,Queens,081,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,114099.197325999990000,99448890.362299994000000,3385.000000000000000,564.166666666999960,28018.000000000000000
119,4,Queens,081,QN12,Hammels-Arverne-Edgemere,83820.087328699999000,61904072.585199997000000,7353.000000000000000,525.214285713999970,36885.000000000000000
120,2,Bronx,005,BX17,East Tremont,29632.191994299999000,19257783.169900000000000,9656.000000000000000,1609.333333330000000,43423.000000000000000
